text,env
"Continued to train and provide professional development experiences to students and practitioners in the field of marine mammal health, medicine and conservation during pandemic-related restrictions by leading lectures and presenting at conferences both in-person and virtually, providing one-on-one support for pursuits such as publishing research and passing board exams, and more.",0.0
"of climate and conservation communication strategy with the professional community by launching the Climate Literacy Collaborative and leading presentations and workshops that reached more than 1,500 people.",1.0
"Developed and led two sessions of Ocean Advocacy Collective, a leadership program, supporting 70 high school students, many of whom reported they felt a sense of growth in leadership and empowerment after completing the program.",0.0
"Supported more than students in California and on Hawai‘i Island through our marine science and ocean conservation programs, Ocean Ambassadors and Nā Kōkua o ke Kai, by supplying more than 50 teachers with resources to continue engaging and inspiring their students at a pivotal time in their development.",1.0
The Marine Mammal Center sincerely appreciates and proudly recognizes the generous support received from donors who are helping ensure a healthy ocean for marine mammals and humans alike.,1.0
Careful stewardship of these financial resources is key to increasing our impact in the face of ongoing marine mammal health threats and a rapidly changing ocean environment.,1.0
"We learn from the patients in our care and contribute to scientific understanding of the changing health of our ocean, taking action to address ocean threats and save endangered species.",1.0
"We lead as a teaching hospital by training veterinary professionals locally and internationally, and inspiring future ocean stewards through innovative school and public education programs.",0.0
Oceana is the largest international advocacy group dedicated solely to ocean conservation.,1.0
"With more than overfishing, habitat destruction, pollution, and the killing of threatened species, Oceana’s campaigns are delivering results.",1.0
Oceana’s job is to win policy changes that make the ocean more abundant and biodiverse.,1.0
"These victories are, of course, shared with our allies, who often are artisanal and small-scale fishers: people who know firsthand the damage done by big industrial-scale fishing companies and polluters, and whose families rely on the food and income provided by a healthy ocean.",1.0
Your contributions give us the independence essential to our forceful advocacy for ocean conservation.,1.0
"So, you deserve to know what you did for the ocean this year.",1.0
"We are accountable to you for results that stop overfishing, conserve habitat, protect biodiversity, reduce pollution, and deter illegal marine activities.",1.0
The pages of this annual report show you – in vivid words and in beautiful images – ocean conservation successes.,1.0
"As you will recall, a rebuilt ocean is good not just for the countless marvelous creatures who live in the sea.",1.0
It is also good for humanity and for biodiversity on the land.,1.0
"Indeed, if you care about life on the land, restoring ocean abundance should be an essential part of your agenda.",1.0
"An abundant ocean can provide a healthy seafood meal for a billion people, every day, forever.",
"Seafood does this without the clearcutting of forests, the depletion of aquifers, and the release of massive amounts of climatechanging gasses that are the sad effects of industrial livestock production.",1.0
"In short, if you care about human nutrition, global biodiversity, and climate change, then you need the oceans to be sustainably nourishing as many people as possible.",1.0
"Stop overfishing, protect key habitat, and reduce pollution, and many fisheries return rapidly to abundance.",1.0
"It’s in the steady delivery of ocean conservation policies, documented again for you in this annual report, that we – our allies, our global board of directors, our campaign staff, and you – find our reward.",0.0
Your generosity is helping to restore an abundant ocean and to deliver a better future for hundreds of millions of poor and vulnerable people across the globe.,
Healthy marine ecosystems full of wildlife support fisheries that can feed more than a billion people in a truly sustainable way.,1.0
"We can preserve the oceans for future generations while protecting a critical food source — wild seafood — that requires no fresh water or arable land to produce, yields minimal greenhouse gas emissions, and provides an affordable, healthy protein to hungry people around the world.",1.0
© Oceana/David Palage Protect Habitat Stopping bottom trawling and protecting vulnerable ecosystems preserves places that are crucial to marine animals.,1.0
Oceana mounts expeditions and collects scientific data to help win protections for key ocean habitats.,1.0
© Oceana/Danny Ocampo Pollution undermines the health of ocean ecosystems.,1.0
Oceana fights offshore drilling to help prevent oil spills and reduce greenhouse gas emissions.,1.0
Oceana also campaigns to limit marine plastic pollution and promote more plastic-free choices and zones.,1.0
"Fact-Based Our advocacy relies on scientific research to help us understand the ocean’s problems and identify practical, effective solutions.",1.0
"We conduct research on a variety of issues that affect marine environments, from illegal and destructive fishing to plastic pollution and offshore drilling.",1.0
"Expedition-Powered We recognize that getting on the water – alongside scientists, divers, photographers, and campaigners – helps us bring these important marine places to life and make a stronger case for their protection.",1.0
"Our Ocean Council comprises a select group of leaders in business, policy, and philanthropy who represent and support Oceana’s efforts on the global stage.",0.0
"With the help of our allies, Oceana has won more than victories that restore ocean abundance since we were founded 20 years ago.",1.0
"This historic victory highlights Belize’s leadership in preserving ocean abundance and biodiversity, and truly valuing and protecting the livelihoods of the many people who depend on the seas.",1.0
"is now protected from gillnets, bottom trawling, and offshore ocean drilling.",1.0
"Oceana, Coastal Communities, and Businesses Prevent Harmful Seismic Airgun Blasting in U.S.",1.0
"Oceana and a coalition of groups filed suit in U.S. federal court that successfully delayed seismic airgun blasting in the Atlantic Ocean, preventing this dangerous and deadly practice from going forward as planned by the oil industry.",1.0
"Seismic airguns create one of the loudest manmade sounds ever experienced in the ocean, which can injure or kill marine animals from zooplankton to critically endangered North Atlantic right whales.",1.0
"This victory follows campaigning by Oceana, our allies, and thousands of coastal communities and businesses.",1.0
This expansion makes it the second-largest marine national park in the Mediterranean and the first one to protect deep-sea ecosystems in Spain.,1.0
"In September Trump withdrew the waters off Florida, Georgia, South Carolina, and North Carolina from offshore oil and gas leasing for 10 years.",1.0
"This was a reversal of President Trump’s previous plan to open nearly all U.S. waters to offshore drilling, threatening more than and nearly $180 billion in GDP in pursuit of only two years’ worth of oil and just over one year’s worth of gas at 2018 U.S. consumption rates.",1.0
"The campaign organized opposition from coastal communities, business owners, and elected officials from both political parties.",0.0
Mandatory vessel monitoring will make it possible for the government to stop large commercial fishing boats from illegally fishing in and depleting the country’s municipal coastal waters.,1.0
"These fishing grounds are reserved for small-scale fisherfolk, who rely on the ocean for their livelihoods and food security.",1.0
U.S. Virginia Governor Ralph Northam signed two bills into law to reduce plastic pollution across the state.,1.0
"The laws prohibit the use of polystyrene foam for food service containers, including takeout boxes and cups, and ban the intentional release of balloons into the environment.",1.0
The governor’s action follows campaigning by Oceana and allies to stop plastic pollution at the source by urging government decisionmakers to pass policies that reduce the production and use of single-use plastics.,1.0
"For the first time, the Pacific Fishery Management Council adopted ocean salmon fishing regulations to help save critically endangered Southern Resident orcas from extinction.",1.0
"© Shutterstock/Erin Cadigan In the United States, Virginia Governor Ralph Northam signed a bill into law that protects Virginia’s beautiful and abundant ocean by prohibiting the exploration, development, and production of offshore oil and gas drilling in state waters, which extend three nautical miles (5.6 kilometers) from their coast.",1.0
"The law also prohibits construction of any infrastructure to support drilling off Virginia’s coast, and prevents the state’s agencies from taking any action to facilitate oil and gas production.",1.0
"The Scottish Government announced the designation of a new Scottish Nature Conservation marine protected area (MPA) for the Southern Trench, which is located off the northeast coast of Scotland.",1.0
"Oceana continues to campaign to stop plastic pollution by urging other local, state, and federal decisionmakers to pass policies that reduce the production and use of single-use plastics.",1.0
"Many of the items this law limits or bans are unlikely to be recycled and often make their way into our oceans, where they can harm marine life and ecosystems.",1.0
"Oceana continues to identify and protect deep-sea coral areas from destructive fishing methods, while maintaining robust fisheries, as part of our “freeze the footprint” strategy.",1.0
"Oceana/Lucas Zañartu The Chilean government unanimously passed an ambitious law reducing single-use plastic pollution from the food and beverage industries, following campaigning by Oceana and our allies.",1.0
Refillable bottle systems are a pragmatic and immediate solution to decrease the that pollute the ocean every year.,1.0
"Oceana’s expedition to Aberdeenshire, Scotland in 2017 played a major role in the recent creation of the Scottish Nature Conservation marine protected area (for more, see page 22).",1.0
"On The Water Around the world, Oceana’s expeditions bring to life the essential underwater areas that we seek to preserve.",1.0
Since Oceana’s maiden voyage across the Atlantic Ocean and Mediterranean Sea in and conducted thousands of ocean surveys.,1.0
"In October survey to assess the impact of plastics on the seafloor in different marine habitats, including vulnerable ones like seagrass meadows and algae forests in the Mediterranean.",1.0
"The survey focused on multiple sites in Valencia’s coastal zone, an area with highly populated cities and towns, as well as resorts, hotels, and beachfronts that cater to tourists.",0.0
"Using these findings, Oceana continues to advocate for measures that reduce single-use plastics to prevent them from entering the ocean in the first place.",1.0
Plastic found on the ocean’s surface accounts for only plastic litter that pollutes the ocean.,1.0
"This small island in Southern Leyte province forms part of the “Coral Triangle,” an area in the western Pacific Ocean with high biodiversity.",1.0
Amazon’s Plastic Problem Revealed Oceana analyzed e-commerce packaging data and estimated Amazon’s plastic footprint.,1.0
"Oceana found that the company generated million pounds (211 million kilograms) of plastic packaging waste in 2019, and an estimated 22.4 million pounds (10.2 million kilograms) of that waste entered freshwater and marine ecosystems.",1.0
"Our efforts in court make real, in-the-water change happen.",
In October favorable rulings in two Endangered Species Act cases brought to protect sea turtles from fishing impacts.,1.0
"In the shrimp fisheries case, the court also ruled that NOAA Fisheries must revise its Endangered Species Act analysis to address the impacts of climate change and other (non-shrimp) fisheries on sea turtles and must also set a limit on the number of sea turtles the fishery can harm.",1.0
The Skippers participated in a beach clean-up and recruited new sailors and boaters to join the Green Boating initiative.,1.0
"As part of its campaign to stop the expansion of offshore oil drilling, Oceana engaged coastal businesses through the Business Alliance for Protecting the Atlantic Coast, the Florida Gulf Coast Business Coalition, and the Business Alliance for Protecting the Pacific Coast.",1.0
Given the closure of schools to fight COVID-Powered by Oceana developed instructional videos for its Kids Environmental Lesson Plans (KELP) program to support families and teachers confined to their homes.,1.0
Oceana and local youth groups organized an email blast campaign to pressure the National Solid Waste Management Commission into banning single-use plastics by adding them to the national list of Non-Environmentally Acceptable Products and Packaging (NEAPP).,1.0
"As the Sailors for the Sea Skipper Rob Howie hosted a Green Boating pop-up event at a West Marine store in Marblehead, Massachusetts to recruit new Green Boaters.",1.0
"He and other volunteers handed out Green Boating Guides, which teach boaters how to reduce their individual environmental impact.",1.0
"By combining Sailors for the Sea’s goal of educating boaters about marine conservation with Oceana’s experience mobilizing supporters to advocate for policy that supports healthy and abundant oceans, the Green Boating Initiative creates a global network of active, engaged ocean champions within the sailing and boating community.",1.0
They developed a portable fishing boat tracker that transmits information to a solar-powered buoy to keep eyes on the sea (pictured here).,0.0
"Vera Coelho, Oceana’s senior director of advocacy in Europe, spoke at a virtual Green Week event in October 2020.",1.0
"It was the only session dedicated to the ocean, and her presentation highlighted the benefits of investing in stronger ocean protections.",1.0
Dr. Dionne Hoskins-Brown is the director of NOAAsponsored programs at Savannah State University and an associate professor in the marine and environmental sciences department.,0.0
"Hoskins-Brown participated in Oceana’s #OceanStewardSpotlight series, which highlighted ocean stewards from diverse backgrounds to help create a more welcoming ocean conservation community.",1.0
"© Oceana Oceana, the Ministry of the Environment, and the local community attended a launch for six new information panels about the rich marine ecosystem of Caleta Tortel, Chile.",1.0
"© Bureau of Fisheries and Aquatic Resources Region The Economist Editor-in-Chief Zanny Minton Beddoes discussed ocean conservation with actor, advocate, and Oceana Board Member Ted Danson during the World Ocean Summit in March 2021.",1.0
"Jacqueline Savitz, Oceana’s Chief Policy Officer for North America, advocated for the Break Free From Plastic Pollution Act during a virtual rally celebrating its introduction to Congress.",1.0
"Oceana urges bold action to ban bottom-trawling in Europe’s ‘protected’ areas Environment advocates conduct research expedition on Panaon Island in Southern Leyte Oceana’s campaigners design media and communications strategies that target key decision-makers, inform the public, and help us win victories.",1.0
"Your support allows Oceana to carry out targeted campaigns to end overfishing, limit bycatch, protect habitats and species, curb ocean pollution, and increase the transparency of governance.",1.0
Oceana wins victories that restore ocean abundance and biodiversity for generations to come.,1.0
Become part of a growing base of ocean advocates by joining Oceana today.,1.0
Adopt an Animal Many of the world’s most iconic creatures rely on healthy oceans for their habitat and food.,1.0
"Show your support for ocean conservation with an animal plush, t-shirt, or other item from our gift center at gift.oceana.org.",1.0
"Being a Wavemaker means you will advocate for requiring escape hatches in shrimp nets to protect sea turtles and stopping ocean plastic pollution at the source, preventing harm to marine life.",1.0
"Every day, more irreplaceable ocean places — like coral gardens and whale nurseries — are threatened by destructive fishing and pollution.",1.0
"Make Every Day Earth Day Oceana is a member of EarthShare, a federation that represents the nation’s most respected environmental and conservation charities in hundreds of workplace giving campaigns.",1.0
53 Oceana’s contributors provide the support that is essential to our campaigns to preserve and rebuild ocean life.,1.0
"The Nikita Foundation supports charitable initiatives in the areas of health, education, and environmental protection.",1.0
"James Sandler, Secretary Sandler was a member of Oceana’s founding Board of Directors and is in charge of the Sandler Foundation’s environmental giving.",1.0
"Under his leadership, Oceana’s efforts led to many victories for the oceans including the protection of over destructive bottom trawling, the commitment by the world’s second-largest cruise line to stop dumping inadequately treated sewage and wastewater into the ocean, and a decision by the European Union to shut down illegal driftnetters and thereby potentially save up to 25,000 juvenile bluefin tuna from being caught.",1.0
"Ted Danson To most, Danson is known for TV and movie acting roles, but for those in the conservation movement, he is much more famous for his work as a passionate ocean advocate and Oceana spokesman.",1.0
"In the last two decades, Danson’s stellar acting career has been complemented by his staunch ocean advocacy.",0.0
"Davis is the founder of Fundación Punta de Lobos, a non-profit organization aiming to protect and preserve the Chilean coastline and its ecosystems.",1.0
"This organization seeks to educate, create awareness, and become a national example by implementing scalable models of conservation, focused on coastline public access, marine protected areas, and zoning tools and regulations.",1.0
"She is also passionately committed to, and a fierce advocate for, restoring the world’s ocean.",1.0
Joining Oceana’s Board of Directors in Gouzer – most recently Chairman for the Post-War & Contemporary Art Department at Christie’s Auction House – uses his position in the art world to raise money and draw attention to ocean conservation.,1.0
The foundation has supported the efforts of environmental and humanitarian nonprofits.,0.0
"As an advocate for the environment and human health, King is also a founding member of C.O.A.C.H. for Kids, an organization that provides medical assistance to underserved children.",0.0
Sara Lowell Lowell is a long-time ocean philanthropist and board member of the Marisla Foundation.,0.0
"She is also the Foundation’s Marine Conservation Program Director and oversees efforts to create marine protected areas, advance sustainable fisheries, and protect coastal lands in California, Hawaii, Baja California, Chile, and the broader Pacific.",1.0
"He graduated from Colby College (Waterville, Maine) and received a Doctorate in Environmental Sciences from the Duke Marine Laboratory (Beaufort, North Carolina).",1.0
"He is a trustee of Oak Foundation, based in Switzerland, and oversees Oak’s environment program.",1.0
"His global, multi-year analyses of marine ecosystems have allowed him to reach startling and important conclusions – most critical among them that fish populations are declining rapidly all over the world.",1.0
Rockefeller also authored the groundbreaking guide Green At Work (Island Press) that helped usher environmentally-friendly jobs into nontraditional arenas.,1.0
"He specializes in bioeconomics, marine ecosystem valuation, and the analysis of global issues such as fisheries subsidies, illegal fishing, climate change, and oil spills.",1.0
She has spearheaded successful fundraising efforts for political campaigns and conservation advocacy.,1.0
Elizabeth Wahler Wahler is a long-time ocean advocate and philanthropist.,0.0
"Growing up on the California Coast, and having a father who pioneered carbon capture, she has a deep love and interest in protecting our oceans.",1.0
Antha Williams Williams leads the Environment program at Bloomberg Philanthropies.,1.0
"Under Williams’ direction, Bloomberg Philanthropies supports environmental initiatives to improve the sustainability of cities around the world, accelerate the transition to clean energy, and combat overfishing and protect coral reefs.",1.0
Oceana is the largest international advocacy organization dedicated solely to ocean conservation.,1.0
"With more than pollution, and the killing of threatened species like turtles and sharks, Oceana’s campaigns are delivering results.",1.0
"A restored ocean means that enjoy a healthy seafood meal, every day, forever.",0.0
"Mexico: Clean Air, Fresh Water . . . . . . . . . . . . . . . . . .",0.0
We bring people together to confront the world’s most urgent environmental and developmental challenges.,1.0
"To keep global warming within emissions this decade, while reducing inequality and restoring nature.",1.0
This is exactly the challenge WRI embraces: To find and promote practical solutions for system-wide change at scale that ensures people and nature can thrive.,1.0
"With more than the world, we have teams working on seven programs: Cities, Climate, Energy, Food, Forests, Ocean and Water.",1.0
We are working to cut greenhouse gas emissions in half by more prosperous world for all.,1.0
"Her team applies a broad range of expertise in pursuit of vital landscapes, an equitable energy transition and resilient cities.",1.0
"As Africa’s population and urban areas grow, country leaders on the continent have unique opportunities to develop green infrastructure and expand access to affordable, renewable energy.",1.0
WRI’s Energy Access Explorer provides an unvarnished look at where energy options are available in underserved areas.,0.0
"Mariana Oliviera supports WRI Brasil’s Forests, Land Use and Agriculture program.",1.0
"The country holds more tropical rainforest than any other in the world, which makes nature a central element to cut greenhouse gas (GHG) emissions and foster a just, lowcarbon economy.",1.0
Alarming rates of forest loss push the world closer to losing a precious carbon sink.,1.0
"Through the Assisted Natural Regeneration Alliance, Citiesand tools to guide local governments, land owners and other stakeholders to conserve, manage, monitor and restore forests.",1.0
"In the Faces of Restoration project, which tells stories of people in Brazil who are restoring local forests.",1.0
"About focused on forests, climate and sustainable cities, work in these two offices .",1.0
"The Food and Land Use Coalition, a community of more than organizations and individuals, pursues sustainable ways to grow, distribute and consume food at the grassroots and policy levels around the world.",1.0
"WRI’s US work focuses on efforts at the national, state and local level to reduce greenhouse gas emissions and advance a strong, equitable and clean energy economy .",1.0
"For the Water, Peace and Security Partnership, he and the rest of the team work to identify and help resolve potential conflicts connected to water.",0.0
"Led by Stientje van Veldhoven, who joined WRI in July the continent in its global leadership on climate, development and the environment.",0.0
"WRI has a regional office in The Hague, and houses several programs in its London office, including the Ocean program and the High Level Panel for a Sustainable Ocean Economy, for which WRI serves as the secretariat.",0.0
"Among many other projects, WRI Europe’s office in The Hague supports PACE (Platform for Accelerating the Circular Economy), which catalyzes business, government and civil society to eliminate waste and safely use natural resources.",1.0
"The team of more than across the institute’s core issues, with a special emphasis on high-level convenings and negotiations, as well as natural resource security .",
"the China Council for International Cooperation on Environment and Development, which focuses on making China’s Belt and Road Initiative greener.",1.0
"Together with nearly initiated the Partnership of Biodiversity and Finance to unite stakeholders, including financial institutions, the private sector, academia, development agencies and social organizations to meet financing needs for biodiversity conservation, improve investment mechanisms and promote global collaboration.",1.0
"The team’s work prioritizes urban infrastructure and mobility, clean energy and sustainable investments .",1.0
and help shift the longredundant narrative of environment vs .,1.0
"Ashwini also leads development of the Green Model Economy for India, as well as WRI India’s work on carbon markets.",1.0
"Those efforts began with the creation of the Restoration Opportunities Atlas for India, and led to the adaptation of the Restoration Opportunities Methodology (ROAM) for the Indian context.",1.0
"The team focuses on low-carbon, resilient and inclusive development in sectors including sustainable transport, electric mobility, renewable energy, energy access, governance, restoration and more .",1.0
WRI’s Indonesia team focuses on land use and forestry issues – two sectors in which Andika Putraditama has expertise.,0.0
"As Deputy Program Director for Agriculture, Forests and Land Use, Andika Putraditama leads efforts to create sustainable supply chains for agricultural commodities, in particular those with links to deforestation.",1.0
"Elsewhere at WRI, Global Forest Watch, which tracks tree cover loss and other data, has found evidence that efforts to slow the rate of deforestation in Indonesia are working.",1.0
"This decision was spurred in part by the Low Carbon Development Initiative’s Green Economy Report, which was initiated by Indonesia’s Ministry of National Development Planning, and was supported by WRI Indonesia and the New Climate Economy, for which WRI serves as the secretariat.",0.0
"Ignacio Bernabe Galván and the rest of the urban development and accessibility team, including those who work on water quality issues, pursue projects across the country.",
"In Mexico City and elsewhere, WRI México staff work to improve air quality, develop strong climate goals, end deforestation, restore tree cover and protect coastlines and mangroves, in addition to work on circular economy, energy efficiency and renewable energy.",1.0
"the institute’s key sectors: Climate, Cities, Forests, Energy, and the Ocean .",1.0
"The agreement is the first treaty in Latin America and the Caribbean designed to protect environmental defenders by making it easier for people to access information, participate in decision-making processes, and hold powerful interests accountable.",1.0
