text,gov
We are rebuilding abundant oceans by winning science-based policies in countries that control nearly one-third of the world’s wild fish catch.,0
Oceana’s job is to win policy changes that make the ocean more abundant and biodiverse.,0
"We are accountable to you for results that stop overfishing, conserve habitat, protect biodiversity, reduce pollution, and deter illegal marine activities.",0
Oceana’s Approach Oceana’s mission is to win policy victories that restore the world’s oceans.,0
We can — on a country by country basis — win policy victories that will help to restore and protect oceans worldwide.,0
"Evidence from fisheries around the world shows that, when the right measures are put in place, fish populations bounce back.",0
"Reducing bycatch means improving monitoring and reporting, setting bycatch limits for fisheries, and encouraging fishers to use cleaner, safer gear.",0
"© Shutterstock/BOULENGER Xavier ©Oceana/NOAA Timely and accurate data is needed to improve fishing policies, but too often decision-makers lack this information or industrial fishing interests keep it hidden from the public.",0
"Marine animals are at risk, whether it’s speeding vessels that strike endangered North Atlantic right whales or the brutal shark fin trade that profits from the deaths of up to 73 million sharks each year.",0
"Our Ocean Council comprises a select group of leaders in business, policy, and philanthropy who represent and support Oceana’s efforts on the global stage.",0
"Oceana leverages law, science, grassroots activism, lobbying, and strategic communications to win policy change around the world.",0
"In a landmark decision, the Government of Belize passed legislation that banned the possession and use of gillnets in Belize’s waters.",0
"Oceana and a coalition of groups filed suit in U.S. federal court that successfully delayed seismic airgun blasting in the Atlantic Ocean, preventing this dangerous and deadly practice from going forward as planned by the oil industry.",0
"Seismic airguns create one of the loudest manmade sounds ever experienced in the ocean, which can injure or kill marine animals from zooplankton to critically endangered North Atlantic right whales.",0
The Philippine government issued new rules that require vessel monitoring for all commercial fishing vessels and establish a new electronic reporting system for fisheries catch data.,0
"This decision is a major victory for transparency in the Philippines and comes after campaigning by Oceana, local governments, and other allies.",1
"For the first time, the Pacific Fishery Management Council adopted ocean salmon fishing regulations to help save critically endangered Southern Resident orcas from extinction.",0
Oceana is campaigning for strengthened management and support to preserve this pristine area.,0
"Panaon Island is home to a variety of colorful corals, including red-orange seafans (seen on the left) and yellow fire corals (peeking out on the right).",0
"38 Oceana achieves its goals by identifying the key decision-makers and then leveraging science, law, grassroots engagement, advocacy, and strategic communications to win victories for the oceans.",0
"The report also calls for fishery management measures, such as fishing quotas and minimum size restrictions, as well as improved methods of inspection to monitor for substitution or fraud.",0
The Edge of Extinction: Protecting North Atlantic Right Whales Oceana Canada outlined the plight of one of the most endangered marine mammals on the planet – the North Atlantic right whale – and highlighted steps the federal government must take to protect the remaining few and help ensure the species’ survival.,0
"However, trawlers challenged the ban, and in December a judge nominated by President Jair Bolsonaro said trawling can resume until the Supreme Court reaches a decision on the ban’s constitutionality.",0
Oceana continues to engage supporters in protecting the key domestic fisheries management law in the United States: the MagnusonStevens Act.,0
"During Oceana’s #KeepOceansFishy event series, staff hosted virtual discussions with a variety of partner organizations and experts, including a capstone event featuring award-winning chef Bun Lai, who hosted a sustainable seafood cooking demonstration with Oceana federal policy manager Ariana Spawn.",0
Oceana and local youth groups organized an email blast campaign to pressure the National Solid Waste Management Commission into banning single-use plastics by adding them to the national list of Non-Environmentally Acceptable Products and Packaging (NEAPP).,0
"By combining Sailors for the Sea’s goal of educating boaters about marine conservation with Oceana’s experience mobilizing supporters to advocate for policy that supports healthy and abundant oceans, the Green Boating Initiative creates a global network of active, engaged ocean champions within the sailing and boating community.",0
Oceana’s field team organized a four-part training series on plastic policy.,0
"Jacqueline Savitz, Oceana’s Chief Policy Officer for North America, advocated for the Break Free From Plastic Pollution Act during a virtual rally celebrating its introduction to Congress.",0
"Oceana urges bold action to ban bottom-trawling in Europe’s ‘protected’ areas Environment advocates conduct research expedition on Panaon Island in Southern Leyte Oceana’s campaigners design media and communications strategies that target key decision-makers, inform the public, and help us win victories.",0
"Your support allows Oceana to carry out targeted campaigns to end overfishing, limit bycatch, protect habitats and species, curb ocean pollution, and increase the transparency of governance.",1
© Oceana/Eduardo Sorensen Oceana campaigns for science-based fisheries management to help restore our oceans to abundance.,0
"Keith Addis, President Addis is the co-founder of Industry Entertainment, a leading management and production company.",0
"Under his leadership, Oceana’s efforts led to many victories for the oceans including the protection of over destructive bottom trawling, the commitment by the world’s second-largest cruise line to stop dumping inadequately treated sewage and wastewater into the ocean, and a decision by the European Union to shut down illegal driftnetters and thereby potentially save up to 25,000 juvenile bluefin tuna from being caught.",0
Oceana works with artisanal fishers across Brazil to achieve its policy goals.,0
Oceana is rebuilding abundant and biodiverse oceans by winning science-based policies in countries that control one-third of the world’s wild fish catch.,0
"The Food and Land Use Coalition, a community of more than organizations and individuals, pursues sustainable ways to grow, distribute and consume food at the grassroots and policy levels around the world.",0
Ashwini Hingne is a climate policy researcher and economist focused on supporting the development of low-carbon policies and pathways for India that also enable a just and equitable transition for all.,0
"This decision was spurred in part by the Low Carbon Development Initiative’s Green Economy Report, which was initiated by Indonesia’s Ministry of National Development Planning, and was supported by WRI Indonesia and the New Climate Economy, for which WRI serves as the secretariat.",0
"Thanks in part to work by the WRI Cities team, Mexican lawmakers added a constitutional amendment in person has the right to safe, accessible, sustainable mobility.",0
"Led by Nairobibased Cosmas Ochieng, the Center encompasses WRI’s governance work – previously housed in what was the Governance Center – and expands on it, emphasizing the importance of equity within WRI’s programs as well as in the institute as a whole.",1
"Pay gaps are measured and corrected where necessary to align with WRI’s compensation philosophy: pay for performance, based on market, free of discrimination.",0
People Management Certificate following completion of a yearlong program.,0
"of Directors (as of March James Harmon CO-CHAIR Chairman, Caravel Management LLC; Former President, U .S .",0
"The Global Board is responsible for guiding WRI’s mission, values and strategy, and for ensuring the financial integrity and effective resource management of the institute.",1
"Our current operational investments include those that strengthen internal systems, assuring we are able to recruit and maintain our high caliber of employees and provide an environment that is adaptable to the needs of our work.",0
"Current initiatives include: Improvements to our project management culture In the past year, WRI hired our first Project Management Lead to build out project management capacity globally.",0
Flexible work WRI approved a new framework prioritizing the creation of working conditions that maximize our impact while emphasizing productivity in an equitable way.,0
"This framework offers options for in-office, remote and telework.",0
value chains and implement policy-oriented action to forward its commitment to reach carbon neutrality by 2060.,0
"It highlighted many things we are doing well and provided an evidence-based starting point to drive our strategic planning efforts over the next year. Individuals, family foundations, and members of our Global Board of Directors, Global Leadership Council and Corporate Consultative Group provided a combined $that allows us to explore nascent issues, move quickly to seize emerging opportunities and leverage additional revenue.",0
This partnership seeks to shift the broader finance sector and the policy structures they operate in.,0
"HSBC US is also a member of WRI’s Corporate Consultative Group, which works to advance business practices that mitigate risks and support sustainable growth.",0
"Corporate Consultative Group This global, cross-industry network is composed of more than companies that provide philanthropic support, collaborate with our experts and engage with our cutting-edge research and data tools to accelerate sustainable business solutions.",0
"Legacy Society The Legacy Society is a program for individuals who make planned gifts to WRI through a will, life insurance policy or estate plan.",0
they become participants in solving their family’s water crisis.,0
"Now, their water crisis is in the past.",0
"As the stories and examples in this report show, the year brought with it an undeniable shift in the way many people have come to view the importance of nature as we race to confront the climate crisis and global biodiversity loss.",0
"Our work to drive greater participation, policy and innovative funding in pursuit of a world where nature and people thrive is only possible thanks to our incredible community of partners, supporters and volunteer leaders around the globe.",0
"S E E M O R E Scan the code with your phone’s camera to see a video of the cover being created, or visit nature.org/arvideo.",0
"Making sure the oceans thrive through new and better-managed protected areas, global-scale sustainable fishing, innovative financing and positive policy changes to how the world governs the seas.",0
"Protect more than ocean and enough river kilometers to stretch around the globe 25 times Take 650 million cars’ worth of emissions out of the air every year We know that these goals are ambitious—but we are also confident in our approach, which reflects decades of learning and partnership with communities and decision-makers around the world.",0
"hectares of land Partnering with communities across the globe to restore and improve management of working lands, support the leadership of Indigenous peoples as land stewards, and conserve critical forests, grasslands and other habitats rich in carbon and biodiversity.",0
"The trust will finance ongoing efforts to manage forests and restore salmon streams, launch new entrepreneurial ventures, invest in youth and strengthen tribal authority.",0
successfully push for some of the nation’s boldest state climate legislation while also creating an Environmental Justice Council to guide implementation and steer climate investments to communities facing the most severe challenges— hard-fought policy breakthroughs.,0
"S E E M O R E Scan the code with your phone’s camera to view TNC’s vision for climate policy, or visit nature.org/ smartclimatepolicy.",0
"“Nature-based solutions can deliver climate mitigation and adaptation benefits and a wide range of vital infrastructure services, such as improved water quality, flood control and disaster-risk reduction while also benefiting biodiversity,” says Andrew Deutz, TNC’s director of global policy, institutions and conservation finance.",0
Nature-Based Solutions: Research and Practice is the first Chineselanguage book on the subject.,0
"This makes climate change not only a scientific, an environmental and a human issue, but also an urgent moral one.",0
"If the right steps are taken, they say, our food system can actually protect habitat and absorb and store climate-disrupting emissions instead of producing them.",0
"Through new partnerships with scientists, industry leaders and tech firms, TNC is finding ways to stem biodiversity loss and offer natural solutions to the climate crisis.",0
"ER Making sure the oceans thrive through new and better-managed protected areas, global-scale sustainable fishing, innovative financing and positive policy changes to how the world governs the seas.",0
"And the evidence shows that when done right, in the right places, some types of aquaculture can actually help restore natural systems.",0
"Thanks to a new joint venture called Pacific Island Tuna, the government of the Marshall Islands and TNC have a business model that puts the island nation in control of every link in the supply chain.",0
"S E E M O R E Scan the code with your phone’s camera to learn more about Belize’s ocean future, or visit nature.org/ belizebluebonds.",0
"Scan the code with your phone’s camera and read more about the Mississippi River, or visit nature.org/ mississippiriverfuture.",0
"The Conservancy is also helping governments create similar permanent legal and community-led protections for rivers, lakes and wetlands.",0
"—KIM NYE Rethinking Dams, Restoring a Lake TNC helps shift management plans for U.S. dams.",0
"Scan the code with your phone’s camera to see an update on the blue heart of Europe, or visit nature.org/balkans.",0
"Partnering with communities across the globe to restore and improve management of working lands, support the leadership of Indigenous peoples as land stewards, and conserve critical forests, grasslands and other habitats rich in carbon and biodiversity.",0
"Scan the code with your phone’s camera to learn more about wildlife in the Maya Forest, or visit nature.org/ savingmayaforest.",0
"The newly formed Belize Maya Forest Trust, directed by Dr. Elma Kay, a Belizean scientist, is leading the preserve’s long-term management.",0
"In recent years, members of Indigenous tribes in Maine, conservation groups and land management agencies have come together in an initiative known as First Light to build relationships and work toward the return and sharing of land.",0
"This is an important step forward in the tribe’s efforts to restore sovereignty and the right to be Passamaquoddy people, says Soctomah.",0
This project could add new protected areas and improve management on existing spaces to conserve nearly as well as improve opportunities and resource rights for 10 million people.,0
"During this challenging year, the priority focus of our management team was twofold.",0
"We focused our efforts and resources on accelerating our conservation plans, enabled by leading-edge financial, information technology, and investment management tools and strategies.",0
"future gifts, collateral received under securities lending agreement, notes receivable, right-of-use assets, and deposits on land and other assets.",0
and active management decisions by our team of investment professionals.,0
"“The Conservancy does a really good job of solving the habitat issue, both from a global, big-picture perspective and at the local level,” says Connie.",0
"Relying on Connie’s decades of experience as a certified public accountant, the LaFonds decided the best way to support TNC’s future work was through a bequest and a deferred gift annuity.",0
The excitement of a new administration was followed by destabilizing attempts to overturn a fair and legal election.,0
The previous administration had sidelined science to an unprecedented extent and worsened the growing climate crisis.,0
"Just seven days after taking office, President Biden demonstrated his strong support for science by signing a memorandum on scientific integrity and science-based decisionmaking that adopted many recommendations from a scientific integrity task force, establishing a scientific integrity review across agencies, designating chief scientific officers and scientific integrity officers in all science agencies, and ensuring that the membership of scientific advisory committees is both diverse and adequately represents the voice of independent scientists with relevant expertise.",1
"Meanwhile, the UCS Science Network continues to play an important role in bringing independent scientific and technical expertise to bear on public policy.",0
A Transformative Climate Action Framework: Putting People at the Center of Our Nation’s Clean Energy Transition will guide our strategy and analysis going forward.,0
"In the Pacific Northwest, Washington State took a significant step toward reducing its vehicle emissions when it passed a bill establishing a clean fuel standard for the state—a victory that capped seven years of work by UCS.",0
The analysis also exposes the fact that many farmworkers have little or no recourse from working in dangerous conditions because their health and safety is routinely discounted by both employers and the legal system.,0
"UCS combined this science with action, actively pushing for protections from extreme heat such as an occupational safety standard that includes contributions from UCS scientists and reflects the positions of the Good Food for All coalition that UCS coordinates.",0
"In September, the Biden administration responded, announcing a “coordinated, interagency effort” to counter the threat of extreme heat, including a Department of Labor initiative to protect workers. Big Ag’s practices lead to soil erosion, water pollution, unsafe working conditions, and a lack of opportunity in rural communities.",0
"UCS, in partnership with the Food Chain Workers Alliance, brought attention to the issue and won stronger federal protections for frontline food workers (though meat and poultry workers remain at risk).",0
TAKING ON “BIG AG” Since the policy has paved the way for increasingly bigger farms and food processors—with bigger problems as a result.,0
"Our work around policy has grown exponentially over the last decade; our brand is proven, trusted, and respected.",0
"We’ve also had a wake-up call that has energized our work around equity, diversity, inclusion, and belonging, and building a culture of workplace excellence.",0
She is the first woman to lead Audubon in the organization’s history.,0
"We need bedrock protections in place to prevent future losses at this scale, and Audubon’s Bring Birds Back policy agenda has been crafted with this goal in mind.",0
"Fund to the tune of $funds to address deferred maintenance projects at the National Park Service, U.S. Forest Service, U.S. Fish and Wildlife Service, Bureau of Land Management, and Bureau of Indian Education schools.",0
"policy agenda at the local, state, and federal levels with on-the-ground conservation, and has delivered meaningful results.",0
"Through Audubon’s Conservation Ranching program, we work with ranchers to develop and implement bird-friendly land management plans that protect and renew grassland habitats.",0
"We will continue pushing lawmakers to take even bolder steps, such as the introduction of a national Clean Energy Standard.",0
"Jamaal explains, “We offer conservation, climate, policy advocacy—all under one roof.",0
"Because coordinators are hired from within their respective local communities, they are well positioned to develop and lead programs that resonate with young people and their families where they live.",0
"Outside of leadership development, the values of EDIB are increasingly reflected in Audubon’s conservation and policy goals.",0
"in city decision-making related to urban, greenspace, and infrastructure planning.",0
"These young professionals can then launch their careers at Audubon in one of our many fellowships, apprenticeships, or internships that are designed to provide the experience they will rely on to advance and lead throughout their professional lives— at Audubon or wherever their careers may lead.",0
BIRDS BEYOND BORDERS An effective conservation strategy means going wherever birds lead us to defend the places they need throughout their full annual cycle.,0
"10,500+ Hudsonian Godwits will be protected thanks to a Conserva Aves land management agreement in Chile.",0
"Alongside our core partner organizations—which include BirdLife International, American Bird Conservancy, and RedLAC (Latin American and Caribbean Network of Environmental Funds)—we will leverage our expertise in policy, science, and fundraising to help local organizations that are working to establish land protections and management in these key areas.",0
Canada also committed to protecting waters by 2030 and passed legislation giving Canada’s Indigenous Peoples a powerful and influential voice in land-management decisions.,0
"With this holistic view of bird conservation, Ben is a lead funder of Conserva Aves.",0
"We collaborate with partners to scale nature-based solutions, foster grassroots actions on climate change issues, and provide conservation policy and capacity development.",0
"assistance for our projects; a legal division, Earth Island Advocates; a youth leadership program, New Leaders Initiative; and an award-winning magazine, Earth Island Journal.",0
"Our legal arm, Ear t h Island Advocat es, filed lawsuits to prevent unlawful logging on federal land and to stop corporate greenwashing, and obtained settlements that protect wildlife.",0
"Our news magazine, Earth Island Journal, kept up its bold reporting on a wide range of environmental issues both in the United States and abroad, including the ways in which climate change is already manifesting around us, how regulatory systems often prioritize corporations over people, and how brave environmental activists are fighting powerful interests to preserve their lands and communities.",0
"Public Lands Media continued reporting on topics critical to the preservation of public lands, such as wildfire ecology, livestock grazing, and forest service policies.",0
"Advancing Wild Her it age?s work of advocating for the protection of primary forests in the United States and throughout the world, the project?s Chief Scientist, Dominick DellaSala, has been a sought-after spokesperson on the issue for several major media outlets, including The New York Times and The Washington Post.",0
"CalCAN also won improvements that will make it easier for small and limited-resource farmers to apply to an on-farm water-conservation grant program, developed new partnerships to advance agricultural policy solutions to wildfire mitigation, and continued the growth of a national network of farmer-centered organizations focused on passing healthy soils policy.",0
"Com m unit y Resilience With its activities rooted in the One Health approach, a framework embraced by leading global health organizations that recognizes the interconnection of people, animals, plants, and their shared environment, EcoVet Global has redoubled its commitment to preventing the next pandemic by addressing animal health and welfare needs (domestic and wildlife) as a key component to community and ecosystem resilience.",0
"Acting in kinship and building community in order to seed solutions based on respect, honor, and mutual care, Seeding Sovereignt y launched the Community Defense and Land Liberation program to get security gear and essential legal self-defense training to frontline environmental protectors; filed a landmark case against the federal government on a right to wilderness; established a program to assist in the healing process of residential-school survivors amid the recent tragic discovery of thousands of murdered Indigenous children during the last century; created Medicine Wheels to meet the mental health needs of Indigenous and BIPOC youths who have been worn down and isolated by the pandemic quarantine; and opened Ancestral Acres Farm and Garden to grow food sovereignty and distribute health nutrition to food-insecure communities.",0
The project has succeeded in blocking numerous permits and has brought international attention to the issue through widespread media coverage.,0
The ALERT Project prevailed in its lawsuit against the U.S. Environmental Protection Agency (EPA) in a landmark decision requiring the EPA to update its decades-old regulations on the use of toxic chemical dispersants in oil spill responses.,0
We must solve the democracy crisis before we solve the environmental crisis.,0
"With the combined knowledge and expertise of our grassroots project network and the pro bono resources of law firms, legal clinics, and nonprofit organizations, Earth Island Advocates is achieving tangible results for the environment.",0
"In fiscal year filed lawsuits to prevent unlawful logging on federal land and to stop corporate greenwashing, and obtained settlements that protect wildlife.",0
"Through our research, programming, land management, trail work, advocacy, and more, we protect and speak up for the places we love.",0
AMC took over management of the Reeves Meadow Visitor Center and Palisades Information Center from the Palisades Interstate Parkway Commission to provide essential information about recreation opportunities throughout the greater New York Region.,0
$funding to Maine State Parks for capital projects The ‘Protect the View’ campaign in greater Philadelphia The rise in outdoor recreation paired with the ongoing crisis of climate change highlights the importance of AMC’s conservation advocacy work across the region.,0
"Croo Bridge Replacement, Cardigan, NH: This bridge is dedicated to Andrew Norkin (our late Director of Trails and Recreation Management), and many AMC friends, coworkers, volunteers, and partners helped make this project a success in his memory.",0
"Their findings provide science-supported action items, allowing AMC to lead by example.",0
"Warming Winters on Mount Washington AMC’s most recent study of the Pinkham Notch and Mount Washington area indicates that warming winter temperatures lead to less snow—since AMC began recording snowpack in the depth declined by 50 percent, and total snowfall declined 25 percent.",0
"Given the many financial and operational challenges, AMC has much to be proud of in terms of mission delivery and comes out of the year in a position of strong fiscal health thanks to sound management and the generosity of donors at every level.",0
"We tested breakthrough interventions, launching a public policy program in the United States and advocating for fish in the United Kingdom.",0
"For decades, this has been the egg industry’s standard practice.",0
"But over the past five years, THL has rallied our movement to demand that companies put an end to this cruel practice.",0
"When companies fall behind, THL uses highly public pressure campaigns to hold companies accountable for profiting off animal abuse.",0
Our goal is to change this: we imagine a world where the considerable grassroots power of the animal movement is aligned around an achievable list of policy aspirations; and where these incremental legislative changes are won and then scaled over the years.,0
Our new Public Policy program will focus on organizing and empowering a national alliance of local and state-level animal advocacy groups and uniting them around legislative agendas that include animals raised for food.,0
"In our first staff, began to create the internal structures needed for regranting and policy work, and we mobilized our supporters around key issues like successfully strengthening Massachusetts’ law banning the intensive confinement of animals.",0
"Thanks to THL MX’s work to hold companies accountable for their cage-free commitments, five companies—including Grupo Bimbo, the largest bakery and Grupo Alsea, the largest restaurant operator in Latin America—agreed to begin reporting cage-free progress publicly.",0
"enable egg producers to be audited and regulate standards for cage-free eggs in the country, where corporate transparency and accountability are low.",1
the issue was added to the legislative agenda.,0
"Dave’s leadership has always inspired me, and I plan to embody his courage, focus, and visionary approach, as well as my own commitments to candor, transparency, and continuing to cultivate THL’s culture; it is what makes this organization so special and why I’m so proud to work here.",1
Secure more global corporate commitments to eliminate cages for billions of egg-laying hens and hold companies accountable to their commitments.,0
"our partnership with The Melanin Collective, to further our commitment to creating an equitable and inclusive workplace, as well as the costs for a comprehensive compensation study, to ensure that our staff are paid fairly.",0
"real policy change at the corporations that profit from factory farming cruelty, and that policy change truly delivers for the animals.",0
"VISION WCS envisions a world where wildlife thrives in healthy lands and seas, valued by societies that embrace and benefit from the diversity and integrity of life on Earth.",0
"guide our conservation action, and inform policy decisions to scale up our impact.",0
"The collapse of biodiversity, the climate crisis, and the pandemic have made that abundantly clear.",0
WCS is leading the way with science-driven fieldwork and policy efforts across 60 countries.,0
"But there is hope: elephant populations have stabilized or increased in areas throughout Africa where WCS has ensured long-term, effective site management and the necessary resources, anti-poaching systems, and training.",0
"And we seek for all governments to close all markets and trade in ivory, strengthening our push for the EU, Japan, and other nations to shutter their legal domestic ivory markets and end their commercial ivory trade—as the US, China and the UK already have.",0
"Ultimately, our goal is to expand and strengthen management of protected areas where elephants occur now, as well as in some regions where they used to occur, so their populations can fully recover, rewild, and thrive.",0
"Two Years, Zero Poaching We are taking our successful co-management approach and applying it to other key elephant landscapes, most notably in Mozambique’s Niassa National Reserve, which contains the country’s largest population of elephants.",0
"WCS has successfully stemmed the crisis in Niassa, when elephant poaching was rampant; we have now seen more than two years with zero poaching incidents in the Reserve.",0
WCS signed a new agreement with the Government of Mozambique in 2020 and is now drafting a 10-year conservation management plan for Niassa.,0
"Elephant populations have stabilized or increased in areas throughout Africa where WCS has ensured longterm, effective site management and the necessary resources, antipoaching systems, and training.",0
"Today, with our government partners, WCS protects more big cat habitat and has more specialists on the ground than any other organization; we lead long-term programs at countries across Africa, Asia, and the Americas.",0
"We will also develop and launch an integrated mapping and reporting system for tigers, jaguars, and lions, enabling us to analyze changes in habitat and populations in near-real time to guide global recovery efforts.",0
"For example, the National Oceanic and Atmospheric Administration (NOAA) issues requests for ship “slow downs” when the two WCS-WHOI monitoring buoys relay data on the presence of North Atlantic right whales, in order to safeguard the approximated remain.",0
"Safeguarding Whales in the New York Seascape Diverse marine life—including humpback whales, harbor porpoises, bottlenose and common dolphins, fin whales, minke whales, and even the critically endangered North Atlantic right whale—can be seen in the New York Bight.",0
"Right Whale WCS’s acoustic work with Woods Hole Oceanographic Institution (WHOI) in the New York seascape detects four species in near-real time, and some of this WCS’s leading marine mammal research has won comprehensive protections and lasting results.",0
"Sub-Surface Float ABOVE When buoys detect critically endangered right whales in the New York Bight, just outside the harbor area, NOAA issues a “slow down” request for ships.",0
"Building on decades of scientific leadership on this issue, WCS is partnering with governments to secure crucial, permanent changes that will protect human health and well-being, economies, and security on a global scale, while also preventing the devastation of the world’s wildlife and wild places.",0
"WCS is using strong science, policy, and action on the ground to protect trafficked species while safeguarding human health.",0
"Advancing Reform at the National Level Drawing on our scientific, policy, and fieldbased expertise, WCS is working with governments around the world to decrease the risk of spillover events by supporting wildlife trade policy reform and strengthening counter-wildlife trafficking efforts.",0
"RIGHT/BELOW To prevent future outbreaks, WCS is working to stop the commercial trade in wildlife for human consumption, particularly of birds and mammals.",0
It also finalized a new biosecurity law with key provisions on zoonotic-origin disease prevention and control aligned with WCS’s prior recommendations.,0
This reporting tool equips rangers with technology and information and has effectively suppressed all illegal activities that are harmful to wildlife and their habitats.,0
"This has improved the management of the protected area, which now supports a range of biodiversity and ecosystem services.",0
it is one of the best wildlife sanctuaries in Thailand and has become globally recognized amongst wildlife conservation communities as a standard for protected areas.,0
"Another accomplishment I feel proud of is pushing for science-based management, strong law enforcement, and collaboration with people who rely on the sanctuary.",0
"■ Strengthen and expand surveillance at key points along wildlife supply chains: We will strengthen pathogen surveillance within and beyond key countries by improving field-based capabilities, and through timely analysis and reporting.",0
"pandemic, and global leaders looking to WCS for guidance, we issue a new policy, backed by science, on the actions that governments and societies around the globe must take in order to reduce the risks of future pandemics.",0
"International Development and the Centers for Disease Control, WCS leads a cuttingedge network for monitoring diseases in wild birds in 20+ countries, helping to stem the spread of a deadly H5N1 flu outbreak.",0
"WCS sets the standard worldwide for best-in-class animal care, innovative exhibits, and zoo-based conservation through our powerful combination of five urban parks— the Bronx Zoo, New York Aquarium, Central Park Zoo, Queens Zoo, and Prospect Park Zoo—and conservation work in 60 countries across the globe.",0
"Bringing Nature to You: WCS Virtual Zoo The live cams at our parks brought an array of wildlife right into people’s homes, offices, and schools.",0
"At the New York Aquarium, WCS connects visitors with the diverse ocean ecosystem in their own backyard, highlighting the types of field research our scientists are doing right offshore in the waters of New York.",0
"Strongholds are our planet’s remaining intact forests, coral reefs, savannas, mangroves, peatlands, and other wilderness areas with the greatest ecological integrity, size and diversity of species populations, and resilience to climate change.",0
"Since then, we have collaborated with the Congolese government to conserve this land, and in public-private partnership that delegated WCS full management authority.",0
"We aim to further strengthen Ndoki’s management and infrastructure, to keep wildlife populations stable and recovering over time.",0
"Advancing Science-led Conservation Using conservation criminology, WCS and partners released a study in the journal Conservation Science and Practice about the wild meat trade, finding that restaurants in urban areas in Central Africa play a key role in whether protected wildlife winds up on the menu.",0
"Through our science-based approach, we have built a strong partnership with the national park management authority, collectively designing and rolling out effective interventions on the ground.",0
"To take just one example, within just the last five years, we worked with the Gunung Leuser National Park authority to stabilize the Sumatran tiger population in eastern Leuser by supporting national park-led anti-poaching ranger teams.",0
A key part of the answer lies in improving gender equality and inclusion within fisheries management.,0
"Yet their substantial contributions are not included in most official statistics, and therefore are unrecognized in fisheries management and policy development.",0
"small-scale fisheries management, these fisheries are more likely to be sustainable, and the benefits more fairly distributed.",0
"In Fiji, WCS is supporting the creation of a network of tabu (no-take) areas within Locally Managed Marine Areas; we are also ensuring that women fishers from local communities are able to take leading roles in the management of these areas.",0
"Following these recent studies, WCS is collecting more data to help ensure women’s catches are counted and included in all statistics, analyzing the outcomes of local management through a gender lens, and we are advocating for greater participation of women in fisheries management decisions and policies.",0
"Building respect for our Indigenous territory, culture, and voice is critical to preserving Madidi and our communities.",0
"The climate crisis is the consequence of our broken relationship with nature—but nature could also be a powerful ally in the fight against climate change, if we choose to tap its immense potential.",0
WCS has used this Forest Integrity Index to ascertain which forests are essential to conserve—such as those within the ultradiverse Amazon and Congo basins.,0
We are protecting intact forests and other high-integrity ecosystems to cost effectively and swiftly address the climate crisis.,0
"Over the project’s lifetime, WCS has supported the sale of over $community development, including helping local people to secure title to their lands and practice sustainable agriculture.",0
Strengthening Global Policy WCS is working to ensure that nature-based climate solutions are at the forefront of global decision-making.,0
